Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Total Personnage
feval_vampire. _	[0.0, 0.0]	[1.0, 0.0255]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[0.0, 0.0]	[1.0, 0.002]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.4991, 0.3818]	[0.4991, 0.2804]	[0.0017, 0.0051]	573
chevalier_filledupirate. pers1	[0.5455, 0.016]	[0.1364, 0.0029]	[0.3182, 0.0354]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0051]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.5, 0.001]	[0.5, 0.0051]	2
chevalier_filledupirate. pers2	[0.3, 0.004]	[0.3, 0.0029]	[0.4, 0.0202]	10
chevalier_filledupirate. pers7	[1.0, 0.0013]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0051]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[1.0, 0.0029]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.8571, 0.008]	[0.1429, 0.001]	[0.0, 0.0]	7
chevalier_filledupirate. pers6	[0.5385, 0.0093]	[0.3077, 0.0039]	[0.1538, 0.0101]	13
chevalier_filledupirate. pers11	[0.7273, 0.0214]	[0.1818, 0.0039]	[0.0909, 0.0101]	22
chevalier_filledupirate. pers12	[0.4286, 0.016]	[0.4286, 0.0118]	[0.1429, 0.0202]	28
chevalier_filledupirate. pers13	[0.0, 0.0]	[0.5, 0.001]	[0.5, 0.0051]	2
chevalier_filledupirate. pers14	[0.5, 0.0013]	[0.5, 0.001]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[0.6667, 0.0107]	[0.3333, 0.0039]	[0.0, 0.0]	12
chevalier_filledupirate. pers16	[0.5, 0.0013]	[0.0, 0.0]	[0.5, 0.0051]	2
chevalier_filledupirate. pers10	[0.25, 0.0093]	[0.6429, 0.0176]	[0.1071, 0.0152]	28
