Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Total
feval_vampire. _	26	0	0	0	26
feval_vampire. papaSeverin	2	0	0	0	2
chevalier_filledupirate. _	308	5	260	0	573
chevalier_filledupirate. pers1	1	3	12	6	22
chevalier_filledupirate. pers3	0	1	0	0	1
chevalier_filledupirate. pers5	0	1	0	1	2
chevalier_filledupirate. pers2	3	4	3	0	10
chevalier_filledupirate. pers7	0	0	1	0	1
chevalier_filledupirate. pers8	0	0	0	1	1
chevalier_filledupirate. pers9	3	0	0	0	3
chevalier_filledupirate. pers4	1	0	6	0	7
chevalier_filledupirate. pers6	4	2	7	0	13
chevalier_filledupirate. pers11	5	2	15	0	22
chevalier_filledupirate. pers12	9	7	12	0	28
chevalier_filledupirate. pers13	1	1	0	0	2
chevalier_filledupirate. pers14	1	0	1	0	2
chevalier_filledupirate. pers15	1	3	8	0	12
chevalier_filledupirate. pers16	0	0	1	1	2
chevalier_filledupirate. pers10	17	4	7	0	28
chevalier_filledupirate. pers18	11	5	2	1	19
chevalier_filledupirate. pers19	1	1	2	0	4
chevalier_filledupirate. pers20	1	3	0	1	5
chevalier_filledupirate. pers21	2	1	0	0	3
chevalier_filledupirate. pers22	2	0	0	0	2
chevalier_filledupirate. pers23	2	2	0	0	4
chevalier_filledupirate. pers24	0	1	0	0	1
chevalier_filledupirate. pers25	19	20	6	2	47
chevalier_filledupirate. pers26	11	0	20	0	31
chevalier_filledupirate. pers27	1	0	1	0	2
chevalier_filledupirate. pers28	1	1	0	0	2
chevalier_filledupirate. pers29	1	0	3	0	4
chevalier_filledupirate. pers30	2	2	0	0	4
chevalier_filledupirate. pers31	1	0	0	0	1
chevalier_filledupirate. pers32	1	0	0	0	1
chevalier_filledupirate. pers33	1	0	2	0	3
chevalier_filledupirate. pers34	0	2	0	0	2
flaubert_madamebovary. _	82	10	0	2	94
flaubert_madamebovary. pers1	2	0	0	0	2
flaubert_madamebovary. pers2	10	2	0	0	12
flaubert_madamebovary. pers3	1	0	0	0	1
flaubert_madamebovary. pers4	1	0	0	0	1
flaubert_madamebovary. pers5	1	0	0	0	1
flaubert_madamebovary. pers6	3	2	0	0	5
flaubert_madamebovary. pers7	1	0	0	0	1
flaubert_madamebovary. pers8	0	1	0	0	1
merimee_carmen. _	109	4	123	1	237
merimee_carmen. pers1	7	0	7	0	14
merimee_carmen. pers2	4	2	4	0	10
merimee_carmen. pers14	0	0	0	1	1
merimee_carmen. pers4	0	0	0	2	2
merimee_carmen. pers6	32	31	3	11	77
merimee_carmen. pers7	1	0	1	0	2
merimee_carmen. pers3	26	8	11	0	45
merimee_carmen. pers10	5	0	0	1	6
merimee_carmen. pers8	0	2	0	0	2
merimee_carmen. pers9	1	0	6	0	7
merimee_carmen. pers11	1	0	0	0	1
merimee_carmen. pers12	1	2	0	2	5
merimee_carmen. pers13	2	2	0	0	4
merimee_carmen. pers15	5	0	0	0	5
merimee_carmen. pers16	2	0	0	0	2
merimee_venusdille. _	97	3	71	1	172
merimee_venusdille. pers1	27	16	14	4	61
merimee_venusdille. pers2	21	11	5	0	37
merimee_venusdille. pers3	27	17	12	0	56
merimee_venusdille. pers4	0	5	0	0	5
merimee_venusdille. pers5	0	3	0	2	5
merimee_venusdille. pers6	1	2	0	1	4
merimee_venusdille. pers7	16	6	4	0	26
merimee_venusdille. pers8	0	0	0	4	4
merimee_venusdille. pers10	2	0	2	0	4
merimee_venusdille. pers11	7	0	1	0	8
merimee_venusdille. pers12	2	0	0	0	2
merimee_venusdille. pers13	2	0	0	0	2
zeltner_contes. _	38	3	38	0	79
zeltner_contes. mere	0	1	0	0	1
zeltner_contes. Koli	21	8	4	0	33
zeltner_contes. marchands	8	1	2	1	12
zeltner_contes. chef	7	0	0	0	7
zeltner_contes. assistants	1	2	0	1	4
zeltner_contes. meremarchand	1	0	0	0	1
zeltner_contes. marchand	3	0	2	0	5
zeltner_contes. vxpere	3	1	1	0	5
zeltner_contes. sofas	1	0	0	0	1
zeltner_contes. roi	1	2	0	0	3
Total	1022	218	680	47	1967
