Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Total Personnage
feval_vampire. _	[1.0, 0.0254]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.5375, 0.3014]	[0.0087, 0.0229]	[0.4538, 0.3824]	[0.0, 0.0]	573
chevalier_filledupirate. pers1	[0.0455, 0.001]	[0.1364, 0.0138]	[0.5455, 0.0176]	[0.2727, 0.1277]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[1.0, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.5, 0.0046]	[0.0, 0.0]	[0.5, 0.0213]	2
chevalier_filledupirate. pers2	[0.3, 0.0029]	[0.4, 0.0183]	[0.3, 0.0044]	[0.0, 0.0]	10
chevalier_filledupirate. pers7	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0213]	1
chevalier_filledupirate. pers9	[1.0, 0.0029]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.1429, 0.001]	[0.0, 0.0]	[0.8571, 0.0088]	[0.0, 0.0]	7
chevalier_filledupirate. pers6	[0.3077, 0.0039]	[0.1538, 0.0092]	[0.5385, 0.0103]	[0.0, 0.0]	13
chevalier_filledupirate. pers11	[0.2273, 0.0049]	[0.0909, 0.0092]	[0.6818, 0.0221]	[0.0, 0.0]	22
chevalier_filledupirate. pers12	[0.3214, 0.0088]	[0.25, 0.0321]	[0.4286, 0.0176]	[0.0, 0.0]	28
chevalier_filledupirate. pers13	[0.5, 0.001]	[0.5, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[0.5, 0.001]	[0.0, 0.0]	[0.5, 0.0015]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[0.0833, 0.001]	[0.25, 0.0138]	[0.6667, 0.0118]	[0.0, 0.0]	12
chevalier_filledupirate. pers16	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0015]	[0.5, 0.0213]	2
chevalier_filledupirate. pers10	[0.6071, 0.0166]	[0.1429, 0.0183]	[0.25, 0.0103]	[0.0, 0.0]	28
chevalier_filledupirate. pers18	[0.5789, 0.0108]	[0.2632, 0.0229]	[0.1053, 0.0029]	[0.0526, 0.0213]	19
chevalier_filledupirate. pers19	[0.25, 0.001]	[0.25, 0.0046]	[0.5, 0.0029]	[0.0, 0.0]	4
chevalier_filledupirate. pers20	[0.2, 0.001]	[0.6, 0.0138]	[0.0, 0.0]	[0.2, 0.0213]	5
chevalier_filledupirate. pers21	[0.6667, 0.002]	[0.3333, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers22	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers23	[0.5, 0.002]	[0.5, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers24	[0.0, 0.0]	[1.0, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers25	[0.4043, 0.0186]	[0.4255, 0.0917]	[0.1277, 0.0088]	[0.0426, 0.0426]	47
chevalier_filledupirate. pers26	[0.3548, 0.0108]	[0.0, 0.0]	[0.6452, 0.0294]	[0.0, 0.0]	31
chevalier_filledupirate. pers27	[0.5, 0.001]	[0.0, 0.0]	[0.5, 0.0015]	[0.0, 0.0]	2
chevalier_filledupirate. pers28	[0.5, 0.001]	[0.5, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers29	[0.25, 0.001]	[0.0, 0.0]	[0.75, 0.0044]	[0.0, 0.0]	4
chevalier_filledupirate. pers30	[0.5, 0.002]	[0.5, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers31	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers32	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers33	[0.3333, 0.001]	[0.0, 0.0]	[0.6667, 0.0029]	[0.0, 0.0]	3
chevalier_filledupirate. pers34	[0.0, 0.0]	[1.0, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. _	[0.8723, 0.0802]	[0.1064, 0.0459]	[0.0, 0.0]	[0.0213, 0.0426]	94
flaubert_madamebovary. pers1	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. pers2	[0.8333, 0.0098]	[0.1667, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	12
flaubert_madamebovary. pers3	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers4	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers5	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers6	[0.6, 0.0029]	[0.4, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	5
flaubert_madamebovary. pers7	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers8	[0.0, 0.0]	[1.0, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. _	[0.4599, 0.1067]	[0.0169, 0.0183]	[0.519, 0.1809]	[0.0042, 0.0213]	237
merimee_carmen. pers1	[0.5, 0.0068]	[0.0, 0.0]	[0.5, 0.0103]	[0.0, 0.0]	14
merimee_carmen. pers2	[0.4, 0.0039]	[0.2, 0.0092]	[0.4, 0.0059]	[0.0, 0.0]	10
merimee_carmen. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0213]	1
merimee_carmen. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0426]	2
merimee_carmen. pers6	[0.4156, 0.0313]	[0.4026, 0.1422]	[0.039, 0.0044]	[0.1429, 0.234]	77
merimee_carmen. pers7	[0.5, 0.001]	[0.0, 0.0]	[0.5, 0.0015]	[0.0, 0.0]	2
merimee_carmen. pers3	[0.5778, 0.0254]	[0.1778, 0.0367]	[0.2444, 0.0162]	[0.0, 0.0]	45
merimee_carmen. pers10	[0.8333, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.1667, 0.0213]	6
