Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Total
feval_vampire. _	3	0	0	23	0	26
feval_vampire. papaSeverin	2	0	0	0	0	2
chevalier_filledupirate. _	308	2	0	108	155	573
chevalier_filledupirate. pers1	3	3	6	1	9	22
chevalier_filledupirate. pers3	0	1	0	0	0	1
chevalier_filledupirate. pers5	0	0	1	1	0	2
chevalier_filledupirate. pers2	3	4	0	2	1	10
chevalier_filledupirate. pers7	0	0	0	0	1	1
chevalier_filledupirate. pers8	0	0	1	0	0	1
chevalier_filledupirate. pers9	0	0	0	3	0	3
chevalier_filledupirate. pers4	2	0	0	1	4	7
chevalier_filledupirate. pers6	6	2	0	0	5	13
chevalier_filledupirate. pers11	9	2	0	1	10	22
chevalier_filledupirate. pers12	8	5	0	7	8	28
chevalier_filledupirate. pers13	1	1	0	0	0	2
chevalier_filledupirate. pers14	1	0	0	1	0	2
chevalier_filledupirate. pers15	4	3	0	0	5	12
chevalier_filledupirate. pers16	0	0	1	0	1	2
chevalier_filledupirate. pers10	10	3	0	11	4	28
chevalier_filledupirate. pers18	1	3	1	12	2	19
chevalier_filledupirate. pers19	0	1	0	1	2	4
chevalier_filledupirate. pers20	1	3	1	0	0	5
chevalier_filledupirate. pers21	1	1	0	1	0	3
chevalier_filledupirate. pers22	0	0	0	2	0	2
chevalier_filledupirate. pers23	0	1	0	3	0	4
chevalier_filledupirate. pers24	0	1	0	0	0	1
chevalier_filledupirate. pers25	9	15	2	17	4	47
chevalier_filledupirate. pers26	12	0	0	7	12	31
chevalier_filledupirate. pers27	1	0	0	1	0	2
chevalier_filledupirate. pers28	0	0	0	2	0	2
chevalier_filledupirate. pers29	3	0	0	0	1	4
chevalier_filledupirate. pers30	0	0	0	4	0	4
chevalier_filledupirate. pers31	1	0	0	0	0	1
chevalier_filledupirate. pers32	0	0	0	1	0	1
chevalier_filledupirate. pers33	2	0	0	1	0	3
chevalier_filledupirate. pers34	0	2	0	0	0	2
flaubert_madamebovary. _	0	11	1	82	0	94
flaubert_madamebovary. pers1	0	0	0	2	0	2
flaubert_madamebovary. pers2	0	2	0	10	0	12
flaubert_madamebovary. pers3	0	0	0	1	0	1
flaubert_madamebovary. pers4	1	0	0	0	0	1
flaubert_madamebovary. pers5	0	0	0	1	0	1
flaubert_madamebovary. pers6	2	2	0	1	0	5
flaubert_madamebovary. pers7	0	0	0	1	0	1
flaubert_madamebovary. pers8	0	1	0	0	0	1
merimee_carmen. _	127	4	1	29	76	237
merimee_carmen. pers1	8	0	0	2	4	14
merimee_carmen. pers2	2	2	0	3	3	10
merimee_carmen. pers14	0	0	1	0	0	1
merimee_carmen. pers4	0	0	2	0	0	2
merimee_carmen. pers6	9	30	11	26	1	77
merimee_carmen. pers7	2	0	0	0	0	2
merimee_carmen. pers3	14	8	0	18	5	45
merimee_carmen. pers10	3	0	1	2	0	6
merimee_carmen. pers8	0	2	0	0	0	2
merimee_carmen. pers9	3	0	0	0	4	7
merimee_carmen. pers11	0	0	0	1	0	1
merimee_carmen. pers12	0	2	2	1	0	5
merimee_carmen. pers13	0	2	0	2	0	4
merimee_carmen. pers15	0	0	0	5	0	5
merimee_carmen. pers16	2	0	0	0	0	2
merimee_venusdille. _	70	3	1	47	51	172
merimee_venusdille. pers1	14	13	4	24	6	61
merimee_venusdille. pers2	12	5	0	15	5	37
merimee_venusdille. pers3	9	15	0	23	9	56
merimee_venusdille. pers4	0	5	0	0	0	5
merimee_venusdille. pers5	0	3	2	0	0	5
merimee_venusdille. pers6	0	2	1	1	0	4
merimee_venusdille. pers7	10	6	0	10	0	26
merimee_venusdille. pers8	0	0	4	0	0	4
merimee_venusdille. pers10	3	0	0	1	0	4
merimee_venusdille. pers11	1	0	0	6	1	8
merimee_venusdille. pers12	0	0	0	2	0	2
merimee_venusdille. pers13	2	0	0	0	0	2
zeltner_contes. _	47	2	0	12	18	79
zeltner_contes. mere	0	1	0	0	0	1
zeltner_contes. Koli	13	6	0	12	2	33
zeltner_contes. marchands	3	1	1	5	2	12
zeltner_contes. chef	2	0	0	5	0	7
zeltner_contes. assistants	0	2	1	1	0	4
zeltner_contes. meremarchand	1	0	0	0	0	1
zeltner_contes. marchand	1	0	0	3	1	5
zeltner_contes. vxpere	1	1	0	2	1	5
zeltner_contes. sofas	1	0	0	0	0	1
zeltner_contes. roi	0	2	0	1	0	3
Total	754	186	46	568	413	1967
