Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Total Personnage
feval_vampire. _	[0.1154, 0.004]	[0.0, 0.0]	[0.0, 0.0]	[0.8846, 0.0405]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[1.0, 0.0027]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.5375, 0.4085]	[0.0035, 0.0108]	[0.0, 0.0]	[0.1885, 0.1901]	[0.2705, 0.3753]	573
chevalier_filledupirate. pers1	[0.1364, 0.004]	[0.1364, 0.0161]	[0.2727, 0.1304]	[0.0455, 0.0018]	[0.4091, 0.0218]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[1.0, 0.0054]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0217]	[0.5, 0.0018]	[0.0, 0.0]	2
chevalier_filledupirate. pers2	[0.3, 0.004]	[0.4, 0.0215]	[0.0, 0.0]	[0.2, 0.0035]	[0.1, 0.0024]	10
chevalier_filledupirate. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0024]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0217]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0053]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.2857, 0.0027]	[0.0, 0.0]	[0.0, 0.0]	[0.1429, 0.0018]	[0.5714, 0.0097]	7
chevalier_filledupirate. pers6	[0.4615, 0.008]	[0.1538, 0.0108]	[0.0, 0.0]	[0.0, 0.0]	[0.3846, 0.0121]	13
chevalier_filledupirate. pers11	[0.4091, 0.0119]	[0.0909, 0.0108]	[0.0, 0.0]	[0.0455, 0.0018]	[0.4545, 0.0242]	22
chevalier_filledupirate. pers12	[0.2857, 0.0106]	[0.1786, 0.0269]	[0.0, 0.0]	[0.25, 0.0123]	[0.2857, 0.0194]	28
chevalier_filledupirate. pers13	[0.5, 0.0013]	[0.5, 0.0054]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[0.5, 0.0013]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0018]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[0.3333, 0.0053]	[0.25, 0.0161]	[0.0, 0.0]	[0.0, 0.0]	[0.4167, 0.0121]	12
chevalier_filledupirate. pers16	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0217]	[0.0, 0.0]	[0.5, 0.0024]	2
chevalier_filledupirate. pers10	[0.3571, 0.0133]	[0.1071, 0.0161]	[0.0, 0.0]	[0.3929, 0.0194]	[0.1429, 0.0097]	28
chevalier_filledupirate. pers18	[0.0526, 0.0013]	[0.1579, 0.0161]	[0.0526, 0.0217]	[0.6316, 0.0211]	[0.1053, 0.0048]	19
