Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
groupe_ensemble. papaSeverin	0	0	0	2	0	0	2
groupe_ensemble. pers1	33	11	10	24	0	21	99
groupe_ensemble. pers3	23	19	0	34	0	27	103
groupe_ensemble. pers5	0	3	3	0	0	2	8
groupe_ensemble. pers2	12	8	0	29	0	20	69
groupe_ensemble. pers7	6	4	0	13	0	7	30
groupe_ensemble. pers8	0	3	5	0	0	0	8
groupe_ensemble. pers9	6	0	0	3	0	1	10
groupe_ensemble. pers4	6	5	2	1	0	1	15
groupe_ensemble. pers6	9	33	12	21	0	24	99
groupe_ensemble. pers11	16	1	0	10	0	4	31
groupe_ensemble. pers12	12	5	2	10	0	6	35
groupe_ensemble. pers13	0	2	0	3	0	3	8
groupe_ensemble. pers14	0	0	1	1	0	1	3
groupe_ensemble. pers15	8	0	0	2	0	7	17
groupe_ensemble. pers16	1	0	1	2	0	0	4
groupe_ensemble. pers10	9	3	1	18	0	7	38
groupe_ensemble. pers18	2	3	1	2	0	11	19
groupe_ensemble. pers19	2	1	0	0	0	1	4
groupe_ensemble. pers20	0	3	1	1	0	0	5
groupe_ensemble. pers21	0	1	0	1	0	1	3
groupe_ensemble. pers22	0	0	0	1	0	1	2
groupe_ensemble. pers23	0	1	0	0	0	3	4
groupe_ensemble. pers24	0	1	0	0	0	0	1
groupe_ensemble. pers25	6	7	2	11	0	21	47
groupe_ensemble. pers26	20	0	0	7	0	4	31
groupe_ensemble. pers27	0	0	0	2	0	0	2
groupe_ensemble. pers28	0	0	0	0	0	2	2
groupe_ensemble. _	14	2	0	32	0	11	59
groupe_ensemble. pers29	3	0	0	1	0	0	4
groupe_ensemble. pers30	0	0	0	1	0	3	4
groupe_ensemble. pers31	0	0	0	1	0	0	1
groupe_ensemble. pers32	0	0	0	0	0	1	1
groupe_ensemble. pers33	2	0	0	0	0	1	3
groupe_ensemble. pers34	0	2	0	0	0	0	2
groupe_ensemble. mere	0	1	0	0	0	0	1
groupe_ensemble. Koli	3	6	0	18	0	6	33
groupe_ensemble. marchands	2	1	1	5	0	3	12
groupe_ensemble. chef	0	0	0	5	0	2	7
groupe_ensemble. assistants	0	2	1	1	0	0	4
groupe_ensemble. meremarchand	0	0	0	1	0	0	1
groupe_ensemble. marchand	2	0	0	2	0	1	5
groupe_ensemble. vxpere	0	1	0	3	1	0	5
groupe_ensemble. sofas	0	0	0	1	0	0	1
groupe_ensemble. roi	0	2	0	1	0	0	3
Total	197	131	43	270	1	203	845
