Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
 _	[0.3971, 0.6969]	[0.0152, 0.1154]	[0.1143, 0.4006]	[0.16, 0.7441]	[0.3108, 0.7282]	[0.0025, 0.0698]	1181
 papaSeverin	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
 pers1	[0.202, 0.0297]	[0.1212, 0.0769]	[0.2323, 0.0682]	[0.1212, 0.0472]	[0.2222, 0.0437]	[0.101, 0.2326]	99
 pers3	[0.3301, 0.0505]	[0.1845, 0.1218]	[0.2621, 0.0801]	[0.0388, 0.0157]	[0.1845, 0.0377]	[0.0, 0.0]	103
 pers5	[0.0, 0.0]	[0.5, 0.0256]	[0.25, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0465]	8
 pers2	[0.3188, 0.0327]	[0.1159, 0.0513]	[0.3333, 0.0682]	[0.1014, 0.0276]	[0.1304, 0.0179]	[0.0, 0.0]	69
 pers7	[0.4333, 0.0193]	[0.1333, 0.0256]	[0.2333, 0.0208]	[0.0333, 0.0039]	[0.1667, 0.0099]	[0.0, 0.0]	30
 pers8	[0.0, 0.0]	[0.375, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.625, 0.1163]	8
 pers9	[0.3, 0.0045]	[0.0, 0.0]	[0.1, 0.003]	[0.3, 0.0118]	[0.3, 0.006]	[0.0, 0.0]	10
 pers4	[0.0667, 0.0015]	[0.3333, 0.0321]	[0.0667, 0.003]	[0.1333, 0.0079]	[0.2667, 0.0079]	[0.1333, 0.0465]	15
 pers6	[0.1919, 0.0282]	[0.3434, 0.2179]	[0.2424, 0.0712]	[0.0404, 0.0157]	[0.0707, 0.0139]	[0.1111, 0.2558]	99
 pers11	[0.2903, 0.0134]	[0.0645, 0.0128]	[0.0968, 0.0089]	[0.2581, 0.0315]	[0.2903, 0.0179]	[0.0, 0.0]	31
 pers12	[0.2857, 0.0149]	[0.1714, 0.0385]	[0.1429, 0.0148]	[0.1429, 0.0197]	[0.2, 0.0139]	[0.0571, 0.0465]	35
 pers13	[0.375, 0.0045]	[0.375, 0.0192]	[0.25, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	8
 pers14	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.003]	[0.0, 0.0]	[0.3333, 0.002]	[0.3333, 0.0233]	3
 pers15	[0.1176, 0.003]	[0.0588, 0.0064]	[0.3529, 0.0178]	[0.1765, 0.0118]	[0.2941, 0.0099]	[0.0, 0.0]	17
 pers16	[0.5, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0039]	[0.0, 0.0]	[0.25, 0.0233]	4
 pers10	[0.3947, 0.0223]	[0.0789, 0.0192]	[0.2368, 0.0267]	[0.0526, 0.0079]	[0.2105, 0.0159]	[0.0263, 0.0233]	38
 pers18	[0.1053, 0.003]	[0.1579, 0.0192]	[0.5789, 0.0326]	[0.0, 0.0]	[0.1053, 0.004]	[0.0526, 0.0233]	19
 pers19	[0.0, 0.0]	[0.25, 0.0064]	[0.25, 0.003]	[0.5, 0.0079]	[0.0, 0.0]	[0.0, 0.0]	4
 pers20	[0.0, 0.0]	[0.6, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.2, 0.002]	[0.2, 0.0233]	5
 pers21	[0.3333, 0.0015]	[0.3333, 0.0064]	[0.3333, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
 pers22	[0.5, 0.0015]	[0.0, 0.0]	[0.5, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
 pers23	[0.0, 0.0]	[0.25, 0.0064]	[0.75, 0.0089]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
 pers24	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
 pers25	[0.1915, 0.0134]	[0.1702, 0.0513]	[0.4681, 0.0653]	[0.0, 0.0]	[0.1277, 0.0119]	[0.0426, 0.0465]	47
 pers26	[0.1935, 0.0089]	[0.0, 0.0]	[0.129, 0.0119]	[0.2581, 0.0315]	[0.4194, 0.0258]	[0.0, 0.0]	31
 pers27	[0.5, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.002]	[0.0, 0.0]	2
 pers28	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
 pers29	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0039]	[0.75, 0.006]	[0.0, 0.0]	4
 pers30	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0119]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
 pers31	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
 pers32	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
 pers33	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.003]	[0.0, 0.0]	[0.6667, 0.004]	[0.0, 0.0]	3
 pers34	[0.0, 0.0]	[1.0, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
 mere	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
 Koli	[0.4242, 0.0208]	[0.1818, 0.0385]	[0.2121, 0.0208]	[0.0, 0.0]	[0.1818, 0.0119]	[0.0, 0.0]	33
 marchands	[0.3333, 0.0059]	[0.0833, 0.0064]	[0.25, 0.0089]	[0.0, 0.0]	[0.25, 0.006]	[0.0833, 0.0233]	12
 chef	[0.7143, 0.0074]	[0.0, 0.0]	[0.2857, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
 assistants	[0.0, 0.0]	[0.75, 0.0192]	[0.25, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
 meremarchand	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
 marchand	[0.0, 0.0]	[0.0, 0.0]	[0.6, 0.0089]	[0.2, 0.0039]	[0.2, 0.002]	[0.0, 0.0]	5
 vxpere	[0.4, 0.003]	[0.2, 0.0064]	[0.2, 0.003]	[0.2, 0.0039]	[0.0, 0.0]	[0.0, 0.0]	5
 sofas	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
