Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
feval_vampire. _	[0.8846, 0.0342]	[0.0, 0.0]	[0.1154, 0.0089]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.4328, 0.3685]	[0.0017, 0.0064]	[0.0593, 0.1009]	[0.1606, 0.3622]	[0.3455, 0.3929]	[0.0, 0.0]	573
chevalier_filledupirate. pers1	[0.0455, 0.0015]	[0.0455, 0.0064]	[0.0909, 0.0059]	[0.3182, 0.0276]	[0.2273, 0.0099]	[0.2727, 0.1395]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.5, 0.0064]	[0.5, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers2	[0.2, 0.003]	[0.4, 0.0256]	[0.1, 0.003]	[0.1, 0.0039]	[0.2, 0.004]	[0.0, 0.0]	10
chevalier_filledupirate. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0039]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	1
chevalier_filledupirate. pers9	[0.6667, 0.003]	[0.0, 0.0]	[0.3333, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.1429, 0.003]	[0.2857, 0.0079]	[0.5714, 0.0079]	[0.0, 0.0]	7
chevalier_filledupirate. pers6	[0.3077, 0.0059]	[0.1538, 0.0128]	[0.0, 0.0]	[0.2308, 0.0118]	[0.3077, 0.0079]	[0.0, 0.0]	13
chevalier_filledupirate. pers11	[0.1364, 0.0045]	[0.0909, 0.0128]	[0.0455, 0.003]	[0.3636, 0.0315]	[0.3636, 0.0159]	[0.0, 0.0]	22
chevalier_filledupirate. pers12	[0.3214, 0.0134]	[0.1429, 0.0256]	[0.1071, 0.0089]	[0.1786, 0.0197]	[0.25, 0.0139]	[0.0, 0.0]	28
chevalier_filledupirate. pers13	[0.5, 0.0015]	[0.5, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.003]	[0.0, 0.0]	[0.5, 0.002]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[0.0833, 0.0015]	[0.0833, 0.0064]	[0.1667, 0.0059]	[0.25, 0.0118]	[0.4167, 0.0099]	[0.0, 0.0]	12
chevalier_filledupirate. pers16	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0039]	[0.0, 0.0]	[0.5, 0.0233]	2
chevalier_filledupirate. pers10	[0.3929, 0.0163]	[0.1071, 0.0192]	[0.25, 0.0208]	[0.0714, 0.0079]	[0.1786, 0.0099]	[0.0, 0.0]	28
chevalier_filledupirate. pers18	[0.1053, 0.003]	[0.1579, 0.0192]	[0.5789, 0.0326]	[0.0, 0.0]	[0.1053, 0.004]	[0.0526, 0.0233]	19
chevalier_filledupirate. pers19	[0.0, 0.0]	[0.25, 0.0064]	[0.25, 0.003]	[0.5, 0.0079]	[0.0, 0.0]	[0.0, 0.0]	4
