Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
groupe_ensemble. papaSeverin	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0074]	[0.0, 0.0]	[0.0, 0.0]	2
groupe_ensemble. pers1	[0.3333, 0.1675]	[0.1111, 0.084]	[0.101, 0.2326]	[0.2424, 0.0889]	[0.0, 0.0]	[0.2121, 0.1034]	99
groupe_ensemble. pers3	[0.2233, 0.1168]	[0.1845, 0.145]	[0.0, 0.0]	[0.3301, 0.1259]	[0.0, 0.0]	[0.2621, 0.133]	103
groupe_ensemble. pers5	[0.0, 0.0]	[0.375, 0.0229]	[0.375, 0.0698]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0099]	8
groupe_ensemble. pers2	[0.1739, 0.0609]	[0.1159, 0.0611]	[0.0, 0.0]	[0.4203, 0.1074]	[0.0, 0.0]	[0.2899, 0.0985]	69
groupe_ensemble. pers7	[0.2, 0.0305]	[0.1333, 0.0305]	[0.0, 0.0]	[0.4333, 0.0481]	[0.0, 0.0]	[0.2333, 0.0345]	30
groupe_ensemble. pers8	[0.0, 0.0]	[0.375, 0.0229]	[0.625, 0.1163]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	8
groupe_ensemble. pers9	[0.6, 0.0305]	[0.0, 0.0]	[0.0, 0.0]	[0.3, 0.0111]	[0.0, 0.0]	[0.1, 0.0049]	10
groupe_ensemble. pers4	[0.4, 0.0305]	[0.3333, 0.0382]	[0.1333, 0.0465]	[0.0667, 0.0037]	[0.0, 0.0]	[0.0667, 0.0049]	15
groupe_ensemble. pers6	[0.0909, 0.0457]	[0.3333, 0.2519]	[0.1212, 0.2791]	[0.2121, 0.0778]	[0.0, 0.0]	[0.2424, 0.1182]	99
groupe_ensemble. pers11	[0.5161, 0.0812]	[0.0323, 0.0076]	[0.0, 0.0]	[0.3226, 0.037]	[0.0, 0.0]	[0.129, 0.0197]	31
groupe_ensemble. pers12	[0.3429, 0.0609]	[0.1429, 0.0382]	[0.0571, 0.0465]	[0.2857, 0.037]	[0.0, 0.0]	[0.1714, 0.0296]	35
groupe_ensemble. pers13	[0.0, 0.0]	[0.25, 0.0153]	[0.0, 0.0]	[0.375, 0.0111]	[0.0, 0.0]	[0.375, 0.0148]	8
groupe_ensemble. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.0233]	[0.3333, 0.0037]	[0.0, 0.0]	[0.3333, 0.0049]	3
groupe_ensemble. pers15	[0.4706, 0.0406]	[0.0, 0.0]	[0.0, 0.0]	[0.1176, 0.0074]	[0.0, 0.0]	[0.4118, 0.0345]	17
groupe_ensemble. pers16	[0.25, 0.0051]	[0.0, 0.0]	[0.25, 0.0233]	[0.5, 0.0074]	[0.0, 0.0]	[0.0, 0.0]	4
groupe_ensemble. pers10	[0.2368, 0.0457]	[0.0789, 0.0229]	[0.0263, 0.0233]	[0.4737, 0.0667]	[0.0, 0.0]	[0.1842, 0.0345]	38
groupe_ensemble. pers18	[0.1053, 0.0102]	[0.1579, 0.0229]	[0.0526, 0.0233]	[0.1053, 0.0074]	[0.0, 0.0]	[0.5789, 0.0542]	19
groupe_ensemble. pers19	[0.5, 0.0102]	[0.25, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0049]	4
groupe_ensemble. pers20	[0.0, 0.0]	[0.6, 0.0229]	[0.2, 0.0233]	[0.2, 0.0037]	[0.0, 0.0]	[0.0, 0.0]	5
groupe_ensemble. pers21	[0.0, 0.0]	[0.3333, 0.0076]	[0.0, 0.0]	[0.3333, 0.0037]	[0.0, 0.0]	[0.3333, 0.0049]	3
