Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Total Personnage
feval_vampire. _	[0.0, 0.0]	[0.1154, 0.0089]	[0.0, 0.0]	[0.8846, 0.0355]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0031]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.1885, 0.36]	[0.0593, 0.1012]	[0.0, 0.0]	[0.4119, 0.3642]	[0.0017, 0.0065]	[0.0, 0.0]	[0.3386, 0.4017]	573
chevalier_filledupirate. pers1	[0.3182, 0.0233]	[0.0909, 0.006]	[0.2727, 0.1304]	[0.0455, 0.0015]	[0.0455, 0.0065]	[0.0, 0.0]	[0.2273, 0.0104]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0065]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.5, 0.003]	[0.5, 0.0217]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers2	[0.1, 0.0033]	[0.1, 0.003]	[0.0, 0.0]	[0.2, 0.0031]	[0.4, 0.0261]	[0.0, 0.0]	[0.2, 0.0041]	10
chevalier_filledupirate. pers7	[1.0, 0.0033]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0217]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[0.3333, 0.003]	[0.0, 0.0]	[0.6667, 0.0031]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.4286, 0.01]	[0.1429, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.4286, 0.0062]	7
chevalier_filledupirate. pers6	[0.3846, 0.0167]	[0.0, 0.0]	[0.0, 0.0]	[0.3077, 0.0062]	[0.1538, 0.0131]	[0.0, 0.0]	[0.1538, 0.0041]	13
chevalier_filledupirate. pers11	[0.3636, 0.0267]	[0.0455, 0.003]	[0.0, 0.0]	[0.1364, 0.0046]	[0.0909, 0.0131]	[0.0, 0.0]	[0.3636, 0.0166]	22
chevalier_filledupirate. pers12	[0.2857, 0.0267]	[0.1071, 0.0089]	[0.0, 0.0]	[0.3214, 0.0139]	[0.1429, 0.0261]	[0.0, 0.0]	[0.1429, 0.0083]	28
chevalier_filledupirate. pers13	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0015]	[0.5, 0.0065]	[0.0, 0.0]	[0.0, 0.0]	2
