Pers	Cluster 0	Cluster 1	Total
groupe_ensemble. papaSeverin	2	0	2
groupe_ensemble. pers1	72	27	99
groupe_ensemble. pers3	79	24	103
groupe_ensemble. pers5	1	7	8
groupe_ensemble. pers2	51	18	69
groupe_ensemble. pers7	24	6	30
groupe_ensemble. pers8	0	8	8
groupe_ensemble. pers9	10	0	10
groupe_ensemble. pers4	8	7	15
groupe_ensemble. pers6	50	49	99
groupe_ensemble. pers11	29	2	31
groupe_ensemble. pers12	24	11	35
groupe_ensemble. pers13	5	3	8
groupe_ensemble. pers14	2	1	3
groupe_ensemble. pers15	14	3	17
groupe_ensemble. pers16	3	1	4
groupe_ensemble. pers10	33	5	38
groupe_ensemble. pers18	13	6	19
groupe_ensemble. pers19	3	1	4
groupe_ensemble. pers20	1	4	5
groupe_ensemble. pers21	2	1	3
groupe_ensemble. pers22	2	0	2
groupe_ensemble. pers23	2	2	4
groupe_ensemble. pers24	0	1	1
groupe_ensemble. pers25	26	21	47
groupe_ensemble. pers26	31	0	31
groupe_ensemble. pers27	2	0	2
groupe_ensemble. pers28	2	0	2
groupe_ensemble. _	54	5	59
groupe_ensemble. pers29	4	0	4
groupe_ensemble. pers30	2	2	4
groupe_ensemble. pers31	1	0	1
groupe_ensemble. pers32	1	0	1
groupe_ensemble. pers33	3	0	3
groupe_ensemble. pers34	0	2	2
groupe_ensemble. mere	0	1	1
groupe_ensemble. Koli	25	8	33
groupe_ensemble. marchands	10	2	12
groupe_ensemble. chef	7	0	7
groupe_ensemble. assistants	1	3	4
groupe_ensemble. meremarchand	1	0	1
groupe_ensemble. marchand	5	0	5
groupe_ensemble. vxpere	4	1	5
groupe_ensemble. sofas	1	0	1
groupe_ensemble. roi	1	2	3
Total	611	234	845
