Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
feval_vampire. _	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0674]	26
feval_vampire. papaSeverin	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0052]	2
chevalier_filledupirate. _	[0.2007, 0.2919]	[0.3909, 0.5773]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.4084, 0.6062]	573
chevalier_filledupirate. pers1	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.057]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0026]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0052]	2
chevalier_filledupirate. pers2	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0259]	10
chevalier_filledupirate. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0026]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0026]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0078]	3
chevalier_filledupirate. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0181]	7
chevalier_filledupirate. pers6	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0337]	13
chevalier_filledupirate. pers11	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.057]	22
chevalier_filledupirate. pers12	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0725]	28
chevalier_filledupirate. pers13	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0052]	2
chevalier_filledupirate. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0052]	2
chevalier_filledupirate. pers15	[0.1667, 0.0051]	[0.0833, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.75, 0.0233]	12
chevalier_filledupirate. pers16	[0.0, 0.0]	[0.5, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0026]	2
chevalier_filledupirate. pers10	[0.0, 0.0]	[1.0, 0.0722]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	28
chevalier_filledupirate. pers18	[0.0, 0.0]	[1.0, 0.049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	19
chevalier_filledupirate. pers19	[0.0, 0.0]	[1.0, 0.0103]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers20	[0.0, 0.0]	[1.0, 0.0129]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
chevalier_filledupirate. pers21	[0.0, 0.0]	[1.0, 0.0077]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers22	[0.0, 0.0]	[1.0, 0.0052]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers23	[0.0, 0.0]	[1.0, 0.0103]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers24	[0.0, 0.0]	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers25	[0.0213, 0.0025]	[0.9787, 0.1186]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	47
chevalier_filledupirate. pers26	[0.0, 0.0]	[1.0, 0.0799]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	31
chevalier_filledupirate. pers27	[0.0, 0.0]	[1.0, 0.0052]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers28	[0.0, 0.0]	[1.0, 0.0052]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers29	[0.0, 0.0]	[1.0, 0.0103]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers30	[0.0, 0.0]	[1.0, 0.0103]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers31	[0.0, 0.0]	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers32	[0.0, 0.0]	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers33	[0.0, 0.0]	[1.0, 0.0077]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers34	[0.0, 0.0]	[1.0, 0.0052]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. _	[1.0, 0.2386]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	94
