Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
feval_vampire. _	[0.0, 0.0]	[0.0, 0.0]	[0.8846, 0.0343]	[0.0, 0.0]	[0.0, 0.0]	[0.1154, 0.0087]	26
feval_vampire. papaSeverin	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.0017, 0.0064]	[0.3421, 0.3936]	[0.4363, 0.3726]	[0.0, 0.0]	[0.1606, 0.3622]	[0.0593, 0.0986]	573
chevalier_filledupirate. pers1	[0.0455, 0.0064]	[0.2273, 0.01]	[0.0455, 0.0015]	[0.2727, 0.1395]	[0.3182, 0.0276]	[0.0909, 0.0058]	22
chevalier_filledupirate. pers3	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.5, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0029]	2
chevalier_filledupirate. pers2	[0.4, 0.0256]	[0.2, 0.004]	[0.2, 0.003]	[0.0, 0.0]	[0.1, 0.0039]	[0.1, 0.0029]	10
chevalier_filledupirate. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0039]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[0.0, 0.0]	[0.6667, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.0029]	3
chevalier_filledupirate. pers4	[0.0, 0.0]	[0.5714, 0.008]	[0.0, 0.0]	[0.0, 0.0]	[0.2857, 0.0079]	[0.1429, 0.0029]	7
chevalier_filledupirate. pers6	[0.1538, 0.0128]	[0.3077, 0.008]	[0.3077, 0.006]	[0.0, 0.0]	[0.2308, 0.0118]	[0.0, 0.0]	13
chevalier_filledupirate. pers11	[0.0909, 0.0128]	[0.3636, 0.0161]	[0.1364, 0.0045]	[0.0, 0.0]	[0.3636, 0.0315]	[0.0455, 0.0029]	22
chevalier_filledupirate. pers12	[0.1429, 0.0256]	[0.25, 0.0141]	[0.1429, 0.006]	[0.0, 0.0]	[0.1786, 0.0197]	[0.2857, 0.0232]	28
chevalier_filledupirate. pers13	[0.5, 0.0064]	[0.0, 0.0]	[0.5, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[0.0, 0.0]	[0.5, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0029]	2
chevalier_filledupirate. pers15	[0.0833, 0.0064]	[0.4167, 0.01]	[0.0833, 0.0015]	[0.0, 0.0]	[0.25, 0.0118]	[0.1667, 0.0058]	12
