Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
feval_vampire. _	[1.0, 0.0133]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	26
feval_vampire. papaSeverin	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.9948, 0.2908]	[0.0, 0.0]	[0.0, 0.0]	[0.0017, 0.5]	[0.0035, 1.0]	[0.0, 0.0]	573
chevalier_filledupirate. pers1	[1.0, 0.0112]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	22
chevalier_filledupirate. pers3	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers2	[1.0, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	10
chevalier_filledupirate. pers7	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers9	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[1.0, 0.0036]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
chevalier_filledupirate. pers6	[1.0, 0.0066]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	13
chevalier_filledupirate. pers11	[1.0, 0.0112]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	22
chevalier_filledupirate. pers12	[1.0, 0.0143]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	28
chevalier_filledupirate. pers13	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[1.0, 0.0061]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	12
chevalier_filledupirate. pers16	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers10	[1.0, 0.0143]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	28
chevalier_filledupirate. pers18	[1.0, 0.0097]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	19
chevalier_filledupirate. pers19	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers20	[1.0, 0.0026]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
chevalier_filledupirate. pers21	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers22	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers23	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers24	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers25	[1.0, 0.024]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	47
chevalier_filledupirate. pers26	[1.0, 0.0158]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	31
chevalier_filledupirate. pers27	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers28	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers29	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers30	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers31	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers32	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers33	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers34	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. _	[1.0, 0.048]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	94
flaubert_madamebovary. pers1	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. pers2	[1.0, 0.0061]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	12
flaubert_madamebovary. pers3	[1.0, 0.0005]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
