Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
feval_vampire. _	0	0	0	0	0	26	26
feval_vampire. papaSeverin	0	0	0	0	0	2	2
chevalier_filledupirate. _	115	224	0	0	0	234	573
chevalier_filledupirate. pers1	0	0	0	0	0	22	22
chevalier_filledupirate. pers3	0	0	0	0	0	1	1
chevalier_filledupirate. pers5	0	0	0	0	0	2	2
chevalier_filledupirate. pers2	0	0	0	0	0	10	10
chevalier_filledupirate. pers7	0	0	0	0	0	1	1
chevalier_filledupirate. pers8	0	0	0	0	0	1	1
chevalier_filledupirate. pers9	0	0	0	0	0	3	3
chevalier_filledupirate. pers4	0	0	0	0	0	7	7
chevalier_filledupirate. pers6	0	0	0	0	0	13	13
chevalier_filledupirate. pers11	0	0	0	0	0	22	22
chevalier_filledupirate. pers12	0	0	0	0	0	28	28
chevalier_filledupirate. pers13	0	0	0	0	0	2	2
chevalier_filledupirate. pers14	0	0	0	0	0	2	2
chevalier_filledupirate. pers15	2	1	0	0	0	9	12
chevalier_filledupirate. pers16	0	1	0	0	0	1	2
chevalier_filledupirate. pers10	0	28	0	0	0	0	28
chevalier_filledupirate. pers18	0	19	0	0	0	0	19
chevalier_filledupirate. pers19	0	4	0	0	0	0	4
chevalier_filledupirate. pers20	0	5	0	0	0	0	5
chevalier_filledupirate. pers21	0	3	0	0	0	0	3
chevalier_filledupirate. pers22	0	2	0	0	0	0	2
chevalier_filledupirate. pers23	0	4	0	0	0	0	4
chevalier_filledupirate. pers24	0	1	0	0	0	0	1
chevalier_filledupirate. pers25	1	46	0	0	0	0	47
chevalier_filledupirate. pers26	0	31	0	0	0	0	31
chevalier_filledupirate. pers27	0	2	0	0	0	0	2
chevalier_filledupirate. pers28	0	2	0	0	0	0	2
chevalier_filledupirate. pers29	0	4	0	0	0	0	4
chevalier_filledupirate. pers30	0	4	0	0	0	0	4
chevalier_filledupirate. pers31	0	1	0	0	0	0	1
chevalier_filledupirate. pers32	0	1	0	0	0	0	1
chevalier_filledupirate. pers33	0	3	0	0	0	0	3
chevalier_filledupirate. pers34	0	2	0	0	0	0	2
flaubert_madamebovary. _	94	0	0	0	0	0	94
flaubert_madamebovary. pers1	2	0	0	0	0	0	2
flaubert_madamebovary. pers2	12	0	0	0	0	0	12
flaubert_madamebovary. pers3	1	0	0	0	0	0	1
flaubert_madamebovary. pers4	1	0	0	0	0	0	1
flaubert_madamebovary. pers5	1	0	0	0	0	0	1
flaubert_madamebovary. pers6	5	0	0	0	0	0	5
flaubert_madamebovary. pers7	1	0	0	0	0	0	1
flaubert_madamebovary. pers8	1	0	0	0	0	0	1
merimee_carmen. _	109	0	0	128	0	0	237
merimee_carmen. pers1	14	0	0	0	0	0	14
merimee_carmen. pers2	10	0	0	0	0	0	10
merimee_carmen. pers14	1	0	0	0	0	0	1
merimee_carmen. pers4	2	0	0	0	0	0	2
merimee_carmen. pers6	16	0	0	61	0	0	77
merimee_carmen. pers7	2	0	0	0	0	0	2
merimee_carmen. pers3	3	0	0	42	0	0	45
merimee_carmen. pers10	0	0	0	4	2	0	6
merimee_carmen. pers8	1	0	0	1	0	0	2
merimee_carmen. pers9	0	0	0	7	0	0	7
merimee_carmen. pers11	0	0	0	1	0	0	1
merimee_carmen. pers12	0	0	0	5	0	0	5
merimee_carmen. pers13	0	0	0	4	0	0	4
merimee_carmen. pers15	0	0	0	5	0	0	5
merimee_carmen. pers16	0	0	0	2	0	0	2
merimee_venusdille. _	0	0	123	49	0	0	172
merimee_venusdille. pers1	0	0	42	19	0	0	61
merimee_venusdille. pers2	0	0	0	37	0	0	37
merimee_venusdille. pers3	0	0	36	20	0	0	56
merimee_venusdille. pers4	0	0	1	4	0	0	5
merimee_venusdille. pers5	0	0	0	5	0	0	5
merimee_venusdille. pers6	0	0	0	4	0	0	4
merimee_venusdille. pers7	0	0	26	0	0	0	26
merimee_venusdille. pers8	0	0	4	0	0	0	4
merimee_venusdille. pers10	0	0	4	0	0	0	4
merimee_venusdille. pers11	0	0	8	0	0	0	8
merimee_venusdille. pers12	0	0	2	0	0	0	2
merimee_venusdille. pers13	0	0	2	0	0	0	2
zeltner_contes. _	0	0	79	0	0	0	79
zeltner_contes. mere	0	0	1	0	0	0	1
zeltner_contes. Koli	0	0	33	0	0	0	33
zeltner_contes. marchands	0	0	12	0	0	0	12
zeltner_contes. chef	0	0	7	0	0	0	7
zeltner_contes. assistants	0	0	4	0	0	0	4
zeltner_contes. meremarchand	0	0	1	0	0	0	1
zeltner_contes. marchand	0	0	5	0	0	0	5
zeltner_contes. vxpere	0	0	5	0	0	0	5
zeltner_contes. sofas	0	0	1	0	0	0	1
zeltner_contes. roi	0	0	3	0	0	0	3
Total	394	388	399	398	2	386	1967
