Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
feval_vampire. _	0	0	23	0	0	3	26
feval_vampire. papaSeverin	0	0	2	0	0	0	2
chevalier_filledupirate. _	1	196	250	0	92	34	573
chevalier_filledupirate. pers1	1	5	1	6	7	2	22
chevalier_filledupirate. pers3	1	0	0	0	0	0	1
chevalier_filledupirate. pers5	1	0	0	0	0	1	2
chevalier_filledupirate. pers2	4	2	2	0	1	1	10
chevalier_filledupirate. pers7	0	0	0	0	1	0	1
chevalier_filledupirate. pers8	0	0	0	1	0	0	1
chevalier_filledupirate. pers9	0	0	2	0	0	1	3
chevalier_filledupirate. pers4	0	4	0	0	2	1	7
chevalier_filledupirate. pers6	2	4	4	0	3	0	13
chevalier_filledupirate. pers11	2	8	3	0	8	1	22
chevalier_filledupirate. pers12	4	7	4	0	5	8	28
chevalier_filledupirate. pers13	1	0	1	0	0	0	2
chevalier_filledupirate. pers14	0	1	0	0	0	1	2
chevalier_filledupirate. pers15	1	5	1	0	3	2	12
chevalier_filledupirate. pers16	0	0	0	1	1	0	2
chevalier_filledupirate. pers10	3	5	11	0	2	7	28
chevalier_filledupirate. pers18	3	2	2	1	0	11	19
chevalier_filledupirate. pers19	1	0	0	0	2	1	4
chevalier_filledupirate. pers20	3	1	0	1	0	0	5
chevalier_filledupirate. pers21	1	0	1	0	0	1	3
chevalier_filledupirate. pers22	0	0	1	0	0	1	2
chevalier_filledupirate. pers23	1	0	0	0	0	3	4
chevalier_filledupirate. pers24	1	0	0	0	0	0	1
chevalier_filledupirate. pers25	8	6	9	2	0	22	47
chevalier_filledupirate. pers26	0	13	6	0	8	4	31
chevalier_filledupirate. pers27	0	1	1	0	0	0	2
chevalier_filledupirate. pers28	0	0	0	0	0	2	2
chevalier_filledupirate. pers29	0	3	0	0	1	0	4
chevalier_filledupirate. pers30	0	0	0	0	0	4	4
chevalier_filledupirate. pers31	0	0	1	0	0	0	1
chevalier_filledupirate. pers32	0	0	0	0	0	1	1
chevalier_filledupirate. pers33	0	2	0	0	0	1	3
chevalier_filledupirate. pers34	2	0	0	0	0	0	2
flaubert_madamebovary. _	11	0	20	1	0	62	94
flaubert_madamebovary. pers1	0	0	2	0	0	0	2
flaubert_madamebovary. pers2	2	0	2	0	0	8	12
flaubert_madamebovary. pers3	0	0	0	0	0	1	1
flaubert_madamebovary. pers4	0	0	1	0	0	0	1
flaubert_madamebovary. pers5	0	0	0	0	0	1	1
flaubert_madamebovary. pers6	1	0	2	0	0	2	5
flaubert_madamebovary. pers7	0	0	0	0	0	1	1
flaubert_madamebovary. pers8	1	0	0	0	0	0	1
merimee_carmen. _	2	89	82	1	52	11	237
merimee_carmen. pers1	0	5	4	0	3	2	14
merimee_carmen. pers2	2	1	2	0	3	2	10
merimee_carmen. pers14	0	0	0	1	0	0	1
merimee_carmen. pers4	0	0	0	2	0	0	2
merimee_carmen. pers6	29	3	13	10	1	21	77
merimee_carmen. pers7	0	1	1	0	0	0	2
merimee_carmen. pers3	8	8	20	0	3	6	45
merimee_carmen. pers10	0	0	3	1	0	2	6
merimee_carmen. pers8	2	0	0	0	0	0	2
merimee_carmen. pers9	0	3	1	0	3	0	7
merimee_carmen. pers11	0	0	1	0	0	0	1
merimee_carmen. pers12	2	0	1	2	0	0	5
merimee_carmen. pers13	2	0	0	0	0	2	4
merimee_carmen. pers15	0	0	1	0	0	4	5
merimee_carmen. pers16	0	0	2	0	0	0	2
merimee_venusdille. _	2	41	70	1	36	22	172
merimee_venusdille. pers1	11	12	13	4	2	19	61
merimee_venusdille. pers2	0	6	16	0	3	12	37
merimee_venusdille. pers3	10	11	13	0	1	21	56
merimee_venusdille. pers4	5	0	0	0	0	0	5
merimee_venusdille. pers5	3	0	0	2	0	0	5
merimee_venusdille. pers6	2	0	0	1	0	1	4
merimee_venusdille. pers7	4	4	12	0	0	6	26
merimee_venusdille. pers8	0	0	0	4	0	0	4
merimee_venusdille. pers10	0	3	1	0	0	0	4
merimee_venusdille. pers11	0	1	5	0	0	2	8
merimee_venusdille. pers12	0	0	0	0	0	2	2
merimee_venusdille. pers13	0	0	2	0	0	0	2
zeltner_contes. _	2	35	30	0	9	3	79
zeltner_contes. mere	1	0	0	0	0	0	1
zeltner_contes. Koli	6	6	14	0	0	7	33
zeltner_contes. marchands	1	3	4	1	0	3	12
zeltner_contes. chef	0	0	5	0	0	2	7
zeltner_contes. assistants	3	0	0	0	0	1	4
zeltner_contes. meremarchand	0	0	1	0	0	0	1
zeltner_contes. marchand	0	1	0	0	1	3	5
zeltner_contes. vxpere	1	0	2	0	1	1	5
zeltner_contes. sofas	0	0	1	0	0	0	1
zeltner_contes. roi	2	0	1	0	0	0	3
Total	156	498	673	43	254	343	1967
