Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
feval_vampire. _	23	0	3	0	0	0	26
feval_vampire. papaSeverin	2	0	0	0	0	0	2
chevalier_filledupirate. _	248	1	34	92	198	0	573
chevalier_filledupirate. pers1	1	1	2	7	5	6	22
chevalier_filledupirate. pers3	0	1	0	0	0	0	1
chevalier_filledupirate. pers5	0	1	1	0	0	0	2
chevalier_filledupirate. pers2	2	4	1	1	2	0	10
chevalier_filledupirate. pers7	0	0	0	1	0	0	1
chevalier_filledupirate. pers8	0	0	0	0	0	1	1
chevalier_filledupirate. pers9	2	0	1	0	0	0	3
chevalier_filledupirate. pers4	0	0	1	2	4	0	7
chevalier_filledupirate. pers6	4	2	0	3	4	0	13
chevalier_filledupirate. pers11	3	2	1	8	8	0	22
chevalier_filledupirate. pers12	9	4	3	5	7	0	28
chevalier_filledupirate. pers13	1	1	0	0	0	0	2
chevalier_filledupirate. pers14	0	0	1	0	1	0	2
chevalier_filledupirate. pers15	1	1	2	3	5	0	12
chevalier_filledupirate. pers16	0	0	0	1	0	1	2
chevalier_filledupirate. pers10	11	3	7	2	5	0	28
chevalier_filledupirate. pers18	2	3	11	0	2	1	19
chevalier_filledupirate. pers19	0	1	1	2	0	0	4
chevalier_filledupirate. pers20	0	3	0	0	1	1	5
chevalier_filledupirate. pers21	1	1	1	0	0	0	3
chevalier_filledupirate. pers22	1	0	1	0	0	0	2
chevalier_filledupirate. pers23	0	1	3	0	0	0	4
chevalier_filledupirate. pers24	0	1	0	0	0	0	1
chevalier_filledupirate. pers25	9	8	22	0	6	2	47
chevalier_filledupirate. pers26	6	0	4	8	13	0	31
chevalier_filledupirate. pers27	1	0	0	0	1	0	2
chevalier_filledupirate. pers28	0	0	2	0	0	0	2
chevalier_filledupirate. pers29	0	0	0	1	3	0	4
chevalier_filledupirate. pers30	0	0	4	0	0	0	4
chevalier_filledupirate. pers31	1	0	0	0	0	0	1
chevalier_filledupirate. pers32	0	0	1	0	0	0	1
chevalier_filledupirate. pers33	0	0	1	0	2	0	3
chevalier_filledupirate. pers34	0	2	0	0	0	0	2
flaubert_madamebovary. _	20	11	62	0	0	1	94
flaubert_madamebovary. pers1	2	0	0	0	0	0	2
flaubert_madamebovary. pers2	2	2	8	0	0	0	12
flaubert_madamebovary. pers3	1	0	0	0	0	0	1
flaubert_madamebovary. pers4	1	0	0	0	0	0	1
flaubert_madamebovary. pers5	0	0	1	0	0	0	1
flaubert_madamebovary. pers6	2	1	2	0	0	0	5
flaubert_madamebovary. pers7	0	0	1	0	0	0	1
flaubert_madamebovary. pers8	0	1	0	0	0	0	1
merimee_carmen. _	81	2	11	52	90	1	237
merimee_carmen. pers1	4	0	2	3	5	0	14
merimee_carmen. pers2	2	2	2	3	1	0	10
merimee_carmen. pers14	0	0	0	0	0	1	1
merimee_carmen. pers4	0	0	0	0	0	2	2
merimee_carmen. pers6	13	29	21	1	3	10	77
merimee_carmen. pers7	1	0	0	0	1	0	2
merimee_carmen. pers3	20	8	6	3	8	0	45
merimee_carmen. pers10	3	0	2	0	0	1	6
merimee_carmen. pers8	0	2	0	0	0	0	2
merimee_carmen. pers9	1	0	0	3	3	0	7
merimee_carmen. pers11	1	0	0	0	0	0	1
merimee_carmen. pers12	1	2	0	0	0	2	5
merimee_carmen. pers13	0	2	2	0	0	0	4
merimee_carmen. pers15	1	0	4	0	0	0	5
merimee_carmen. pers16	2	0	0	0	0	0	2
merimee_venusdille. _	69	2	22	36	42	1	172
merimee_venusdille. pers1	13	11	19	2	12	4	61
merimee_venusdille. pers2	16	0	12	3	6	0	37
merimee_venusdille. pers3	13	10	21	1	11	0	56
merimee_venusdille. pers4	0	5	0	0	0	0	5
merimee_venusdille. pers5	0	3	0	0	0	2	5
merimee_venusdille. pers6	0	2	1	0	0	1	4
merimee_venusdille. pers7	12	4	6	0	4	0	26
merimee_venusdille. pers8	0	0	0	0	0	4	4
merimee_venusdille. pers10	1	0	0	0	3	0	4
merimee_venusdille. pers11	5	0	2	0	1	0	8
merimee_venusdille. pers12	0	0	2	0	0	0	2
merimee_venusdille. pers13	2	0	0	0	0	0	2
zeltner_contes. _	28	2	3	9	37	0	79
zeltner_contes. mere	0	1	0	0	0	0	1
zeltner_contes. Koli	14	6	7	0	6	0	33
zeltner_contes. marchands	4	1	3	0	3	1	12
zeltner_contes. chef	5	0	2	0	0	0	7
zeltner_contes. assistants	0	3	1	0	0	0	4
zeltner_contes. meremarchand	1	0	0	0	0	0	1
zeltner_contes. marchand	0	0	3	1	1	0	5
zeltner_contes. vxpere	2	1	1	1	0	0	5
zeltner_contes. sofas	1	0	0	0	0	0	1
zeltner_contes. roi	1	2	0	0	0	0	3
Total	673	156	337	254	504	43	1967
