Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
feval_vampire. papaSeverin	0	0	0	0	2	0	2
chevalier_filledupirate. pers1	12	2	1	6	1	0	22
chevalier_filledupirate. pers3	0	0	1	0	0	0	1
chevalier_filledupirate. pers5	0	1	0	1	0	0	2
chevalier_filledupirate. pers2	3	1	4	0	2	0	10
chevalier_filledupirate. pers7	1	0	0	0	0	0	1
chevalier_filledupirate. pers8	0	0	0	1	0	0	1
chevalier_filledupirate. pers9	0	1	0	0	2	0	3
chevalier_filledupirate. pers4	6	1	0	0	0	0	7
chevalier_filledupirate. pers6	7	0	2	0	4	0	13
chevalier_filledupirate. pers11	15	2	1	0	4	0	22
chevalier_filledupirate. pers12	12	4	3	0	9	0	28
chevalier_filledupirate. pers13	0	0	1	0	1	0	2
chevalier_filledupirate. pers14	0	1	0	0	1	0	2
chevalier_filledupirate. pers15	8	3	0	0	1	0	12
chevalier_filledupirate. pers16	1	0	0	1	0	0	2
chevalier_filledupirate. pers10	7	7	3	0	11	0	28
chevalier_filledupirate. pers18	2	11	3	1	2	0	19
chevalier_filledupirate. pers19	2	1	1	0	0	0	4
chevalier_filledupirate. pers20	0	0	3	1	1	0	5
chevalier_filledupirate. pers21	0	1	1	0	1	0	3
chevalier_filledupirate. pers22	0	1	0	0	1	0	2
chevalier_filledupirate. pers23	0	3	1	0	0	0	4
chevalier_filledupirate. pers24	0	0	1	0	0	0	1
chevalier_filledupirate. pers25	6	21	7	2	11	0	47
chevalier_filledupirate. pers26	20	4	0	0	7	0	31
chevalier_filledupirate. pers27	0	0	0	0	2	0	2
chevalier_filledupirate. pers28	0	2	0	0	0	0	2
chevalier_filledupirate. _	5	2	0	0	24	0	31
chevalier_filledupirate. pers29	3	0	0	0	1	0	4
chevalier_filledupirate. pers30	0	3	0	0	1	0	4
chevalier_filledupirate. pers31	0	0	0	0	1	0	1
chevalier_filledupirate. pers32	0	1	0	0	0	0	1
chevalier_filledupirate. pers33	2	1	0	0	0	0	3
chevalier_filledupirate. pers34	0	0	2	0	0	0	2
flaubert_madamebovary. pers1	0	0	0	0	2	0	2
flaubert_madamebovary. pers2	0	7	2	0	3	0	12
flaubert_madamebovary. pers3	0	0	0	0	1	0	1
flaubert_madamebovary. pers4	0	0	0	0	1	0	1
flaubert_madamebovary. pers5	0	1	0	0	0	0	1
flaubert_madamebovary. pers6	0	2	1	0	2	0	5
flaubert_madamebovary. pers7	0	1	0	0	0	0	1
flaubert_madamebovary. pers8	0	0	1	0	0	0	1
merimee_carmen. pers1	7	2	0	0	5	0	14
merimee_carmen. _	5	9	2	0	8	0	24
merimee_carmen. pers2	4	0	2	0	4	0	10
merimee_carmen. pers14	0	0	0	1	0	0	1
merimee_carmen. pers4	0	0	0	2	0	0	2
merimee_carmen. pers6	2	21	28	11	15	0	77
merimee_carmen. pers7	1	0	0	0	1	0	2
merimee_carmen. pers3	11	6	8	0	20	0	45
merimee_carmen. pers10	0	0	0	1	5	0	6
merimee_carmen. pers8	0	0	2	0	0	0	2
merimee_carmen. pers9	6	0	0	0	1	0	7
merimee_carmen. pers11	0	0	0	0	1	0	1
merimee_carmen. pers12	0	0	2	2	1	0	5
merimee_carmen. pers13	0	3	1	0	0	0	4
merimee_carmen. pers15	0	4	0	0	1	0	5
merimee_carmen. pers16	0	0	0	0	2	0	2
merimee_venusdille. pers1	14	17	10	4	16	0	61
merimee_venusdille. pers2	5	12	0	0	20	0	37
merimee_venusdille. pers3	12	21	10	0	13	0	56
merimee_venusdille. _	4	0	0	0	0	0	4
merimee_venusdille. pers4	0	0	5	0	0	0	5
merimee_venusdille. pers5	0	0	3	2	0	0	5
merimee_venusdille. pers6	0	1	2	1	0	0	4
merimee_venusdille. pers7	4	6	4	0	12	0	26
merimee_venusdille. pers8	0	0	0	4	0	0	4
merimee_venusdille. pers10	2	0	0	0	2	0	4
merimee_venusdille. pers11	1	2	0	0	5	0	8
merimee_venusdille. pers12	0	2	0	0	0	0	2
merimee_venusdille. pers13	0	0	0	0	2	0	2
zeltner_contes. mere	0	0	1	0	0	0	1
zeltner_contes. Koli	3	6	6	0	18	0	33
zeltner_contes. marchands	2	3	1	1	5	0	12
zeltner_contes. chef	0	2	0	0	5	0	7
zeltner_contes. assistants	0	0	2	1	1	0	4
zeltner_contes. meremarchand	0	0	0	0	1	0	1
zeltner_contes. marchand	2	1	0	0	2	0	5
zeltner_contes. vxpere	0	0	1	0	3	1	5
zeltner_contes. sofas	0	0	0	0	1	0	1
zeltner_contes. roi	0	0	2	0	1	0	3
Total	197	203	131	43	270	1	845
