Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
feval_vampire. papaSeverin	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0074]	[0.0, 0.0]	2
chevalier_filledupirate. pers1	[0.5455, 0.0609]	[0.0909, 0.0099]	[0.0455, 0.0076]	[0.2727, 0.1395]	[0.0455, 0.0037]	[0.0, 0.0]	22
chevalier_filledupirate. pers3	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers5	[0.0, 0.0]	[0.5, 0.0049]	[0.0, 0.0]	[0.5, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers2	[0.3, 0.0152]	[0.1, 0.0049]	[0.4, 0.0305]	[0.0, 0.0]	[0.2, 0.0074]	[0.0, 0.0]	10
chevalier_filledupirate. pers7	[1.0, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers9	[0.0, 0.0]	[0.3333, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.6667, 0.0074]	[0.0, 0.0]	3
chevalier_filledupirate. pers4	[0.8571, 0.0305]	[0.1429, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
chevalier_filledupirate. pers6	[0.5385, 0.0355]	[0.0, 0.0]	[0.1538, 0.0153]	[0.0, 0.0]	[0.3077, 0.0148]	[0.0, 0.0]	13
chevalier_filledupirate. pers11	[0.6818, 0.0761]	[0.0909, 0.0099]	[0.0455, 0.0076]	[0.0, 0.0]	[0.1818, 0.0148]	[0.0, 0.0]	22
chevalier_filledupirate. pers12	[0.4286, 0.0609]	[0.1429, 0.0197]	[0.1071, 0.0229]	[0.0, 0.0]	[0.3214, 0.0333]	[0.0, 0.0]	28
chevalier_filledupirate. pers13	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0076]	[0.0, 0.0]	[0.5, 0.0037]	[0.0, 0.0]	2
chevalier_filledupirate. pers14	[0.0, 0.0]	[0.5, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0037]	[0.0, 0.0]	2
chevalier_filledupirate. pers15	[0.6667, 0.0406]	[0.25, 0.0148]	[0.0, 0.0]	[0.0, 0.0]	[0.0833, 0.0037]	[0.0, 0.0]	12
chevalier_filledupirate. pers16	[0.5, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers10	[0.25, 0.0355]	[0.25, 0.0345]	[0.1071, 0.0229]	[0.0, 0.0]	[0.3929, 0.0407]	[0.0, 0.0]	28
chevalier_filledupirate. pers18	[0.1053, 0.0102]	[0.5789, 0.0542]	[0.1579, 0.0229]	[0.0526, 0.0233]	[0.1053, 0.0074]	[0.0, 0.0]	19
chevalier_filledupirate. pers19	[0.5, 0.0102]	[0.25, 0.0049]	[0.25, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers20	[0.0, 0.0]	[0.0, 0.0]	[0.6, 0.0229]	[0.2, 0.0233]	[0.2, 0.0037]	[0.0, 0.0]	5
chevalier_filledupirate. pers21	[0.0, 0.0]	[0.3333, 0.0049]	[0.3333, 0.0076]	[0.0, 0.0]	[0.3333, 0.0037]	[0.0, 0.0]	3
chevalier_filledupirate. pers22	[0.0, 0.0]	[0.5, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0037]	[0.0, 0.0]	2
chevalier_filledupirate. pers23	[0.0, 0.0]	[0.75, 0.0148]	[0.25, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers24	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers25	[0.1277, 0.0305]	[0.4468, 0.1034]	[0.1489, 0.0534]	[0.0426, 0.0465]	[0.234, 0.0407]	[0.0, 0.0]	47
chevalier_filledupirate. pers26	[0.6452, 0.1015]	[0.129, 0.0197]	[0.0, 0.0]	[0.0, 0.0]	[0.2258, 0.0259]	[0.0, 0.0]	31
chevalier_filledupirate. pers27	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0074]	[0.0, 0.0]	2
chevalier_filledupirate. pers28	[0.0, 0.0]	[1.0, 0.0099]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. _	[0.1613, 0.0254]	[0.0645, 0.0099]	[0.0, 0.0]	[0.0, 0.0]	[0.7742, 0.0889]	[0.0, 0.0]	31
chevalier_filledupirate. pers29	[0.75, 0.0152]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0037]	[0.0, 0.0]	4
chevalier_filledupirate. pers30	[0.0, 0.0]	[0.75, 0.0148]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0037]	[0.0, 0.0]	4
chevalier_filledupirate. pers31	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0037]	[0.0, 0.0]	1
chevalier_filledupirate. pers32	[0.0, 0.0]	[1.0, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers33	[0.6667, 0.0102]	[0.3333, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers34	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0153]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. pers1	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0074]	[0.0, 0.0]	2
flaubert_madamebovary. pers2	[0.0, 0.0]	[0.5833, 0.0345]	[0.1667, 0.0153]	[0.0, 0.0]	[0.25, 0.0111]	[0.0, 0.0]	12
flaubert_madamebovary. pers3	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0037]	[0.0, 0.0]	1
flaubert_madamebovary. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0037]	[0.0, 0.0]	1
flaubert_madamebovary. pers5	[0.0, 0.0]	[1.0, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers6	[0.0, 0.0]	[0.4, 0.0099]	[0.2, 0.0076]	[0.0, 0.0]	[0.4, 0.0074]	[0.0, 0.0]	5
flaubert_madamebovary. pers7	[0.0, 0.0]	[1.0, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers1	[0.5, 0.0355]	[0.1429, 0.0099]	[0.0, 0.0]	[0.0, 0.0]	[0.3571, 0.0185]	[0.0, 0.0]	14
merimee_carmen. _	[0.2083, 0.0254]	[0.375, 0.0443]	[0.0833, 0.0153]	[0.0, 0.0]	[0.3333, 0.0296]	[0.0, 0.0]	24
merimee_carmen. pers2	[0.4, 0.0203]	[0.0, 0.0]	[0.2, 0.0153]	[0.0, 0.0]	[0.4, 0.0148]	[0.0, 0.0]	10
merimee_carmen. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0465]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers6	[0.026, 0.0102]	[0.2727, 0.1034]	[0.3636, 0.2137]	[0.1429, 0.2558]	[0.1948, 0.0556]	[0.0, 0.0]	77
merimee_carmen. pers7	[0.5, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0037]	[0.0, 0.0]	2
merimee_carmen. pers3	[0.2444, 0.0558]	[0.1333, 0.0296]	[0.1778, 0.0611]	[0.0, 0.0]	[0.4444, 0.0741]	[0.0, 0.0]	45
